"","ANGULARITY","TENSION","group","TensionLevel"
"1",10,9,"Angularity x Symmetry","Most"
"2",10,9,"Angularity x Symmetry","Most"
"3",6.25,7,"Angularity x Symmetry","Most"
"4",10,10,"Angularity x Symmetry","Most"
"5",10,8,"Angularity x Symmetry","Most"
"6",7.5,6,"Angularity x Symmetry","Most"
"7",10,9,"Angularity x Symmetry","Most"
"8",7.5,6,"Angularity x Symmetry","Most"
"9",6.25,4,"Angularity x Symmetry","Most"
"10",6.25,4,"Angularity x Symmetry","Most"
"11",8.75,4,"Angularity x Symmetry","Most"
"12",0,7,"Angularity x Symmetry","Most"
"13",10,10,"Angularity x Symmetry","Most"
"14",6.25,6,"Angularity x Symmetry","Most"
"15",6.25,7,"Angularity x Symmetry","Most"
"16",10,5,"Angularity x Symmetry","Most"
"17",7.5,7,"Angularity x Symmetry","Most"
"18",7.5,7,"Angularity x Symmetry","Most"
"19",6.25,5,"Angularity x Symmetry","Most"
"20",7.5,5,"Angularity x Symmetry","Most"
"21",7.5,7,"Angularity x Symmetry","Most"
"22",7.5,6,"Angularity x Symmetry","Most"
"23",10,8,"Angularity x Symmetry","Most"
"24",10,9,"Angularity x Symmetry","Most"
"25",10,3,"Angularity x Symmetry","Most"
"26",6.25,4,"Angularity x Symmetry","Most"
"27",10,9,"Angularity x Symmetry","Most"
"28",8.75,6,"Angularity x Symmetry","Most"
"29",8.75,6,"Angularity x Symmetry","Most"
"30",10,7,"Angularity x Symmetry","Most"
"31",10,8,"Angularity x Symmetry","Most"
"32",6.25,4,"Angularity x Symmetry","Most"
"33",7.5,8,"Angularity x Symmetry","Most"
"34",10,10,"Angularity x Symmetry","Most"
"35",10,4,"Angularity x Symmetry","Most"
"36",6.25,8,"Angularity x Symmetry","Most"
"37",10,7,"Angularity x Symmetry","Most"
"38",10,4,"Angularity x Symmetry","Most"
"39",8.75,6,"Angularity x Symmetry","Most"
"40",10,5,"Angularity x Symmetry","Most"
"41",10,5,"Angularity x Symmetry","Most"
"42",10,9,"Angularity x Symmetry","Most"
"43",10,6,"Angularity x Symmetry","Most"
"44",10,7,"Angularity x Symmetry","Most"
"45",6.25,9,"Angularity x Symmetry","Most"
"46",10,7,"Angularity x Symmetry","Most"
"47",10,6,"Angularity x Symmetry","Most"
"48",10,8,"Angularity x Symmetry","Most"
"49",0,3,"Angularity x Symmetry","Most"
"50",10,6,"Angularity x Symmetry","Most"
"51",10,9,"Angularity x Symmetry","Most"
"52",10,8,"Angularity x Symmetry","Most"
"53",10,9,"Angularity x Symmetry","Most"
"54",10,8,"Angularity x Symmetry","Most"
"55",10,5,"Angularity x Symmetry","Most"
"56",7.5,9,"Angularity x Symmetry","Most"
"57",10,9,"Angularity x Symmetry","Most"
"58",10,8,"Angularity x Symmetry","Most"
"59",6.25,5,"Angularity x Symmetry","Most"
"60",10,3,"Angularity x Symmetry","Most"
"61",10,8,"Angularity x Thickness","Most"
"62",10,8,"Angularity x Thickness","Most"
"63",10,7,"Angularity x Thickness","Most"
"64",10,1,"Angularity x Thickness","Most"
"65",10,9,"Angularity x Thickness","Most"
"66",10,8,"Angularity x Thickness","Most"
"67",8.75,1,"Angularity x Thickness","Most"
"68",8.75,4,"Angularity x Thickness","Most"
"69",10,2,"Angularity x Thickness","Most"
"70",3.75,2,"Angularity x Thickness","Most"
"71",0,5,"Angularity x Thickness","Most"
"72",5,5,"Angularity x Thickness","Most"
"73",10,9,"Angularity x Thickness","Most"
"74",8.75,7,"Angularity x Thickness","Most"
"75",6.25,4,"Angularity x Thickness","Most"
"76",6.25,5,"Angularity x Thickness","Most"
"77",6.25,9,"Angularity x Thickness","Most"
"78",10,3,"Angularity x Thickness","Most"
"79",10,3,"Angularity x Thickness","Most"
"80",3.75,3,"Angularity x Thickness","Most"
"81",10,8,"Angularity x Thickness","Most"
"82",10,6,"Angularity x Thickness","Most"
"83",10,8,"Angularity x Thickness","Most"
"84",10,8,"Angularity x Thickness","Most"
"85",10,4,"Angularity x Thickness","Most"
"86",8.75,3,"Angularity x Thickness","Most"
"87",10,8,"Angularity x Thickness","Most"
"88",6.25,6,"Angularity x Thickness","Most"
"89",10,7,"Angularity x Thickness","Most"
"90",10,6,"Angularity x Thickness","Most"
"91",10,8,"Angularity x Thickness","Most"
"92",10,7,"Angularity x Thickness","Most"
"93",10,8,"Angularity x Thickness","Most"
"94",7.5,8,"Angularity x Thickness","Most"
"95",10,3,"Angularity x Thickness","Most"
"96",10,7,"Angularity x Thickness","Most"
"97",6.25,5,"Angularity x Thickness","Most"
"98",10,5,"Angularity x Thickness","Most"
"99",10,8,"Angularity x Thickness","Most"
"100",10,8,"Angularity x Thickness","Most"
"101",10,3,"Angularity x Thickness","Most"
"102",10,8,"Angularity x Thickness","Most"
