"IRREGULARITY","TENSION","group","tensionLevel"
3.75,8,"Irregularity x Symmetry","Most"
2.5,8,"Irregularity x Symmetry","Most"
1.25,7,"Irregularity x Symmetry","Most"
0,6,"Irregularity x Symmetry","Most"
8.75,2,"Irregularity x Symmetry","Most"
1.25,2,"Irregularity x Symmetry","Most"
2.5,4,"Irregularity x Symmetry","Most"
5,4,"Irregularity x Symmetry","Most"
0,4,"Irregularity x Symmetry","Most"
7.5,4,"Irregularity x Symmetry","Most"
8.75,6,"Irregularity x Symmetry","Most"
5,5,"Irregularity x Symmetry","Most"
10,7,"Irregularity x Symmetry","Most"
10,7,"Irregularity x Symmetry","Most"
1.25,6,"Irregularity x Symmetry","Most"
8.75,3,"Irregularity x Symmetry","Most"
8.75,10,"Irregularity x Symmetry","Most"
6.25,5,"Irregularity x Symmetry","Most"
10,5,"Irregularity x Symmetry","Most"
10,6,"Irregularity x Symmetry","Most"
8.75,5,"Irregularity x Symmetry","Most"
10,6,"Irregularity x Symmetry","Most"
8.75,7,"Irregularity x Symmetry","Most"
10,8,"Irregularity x Symmetry","Most"
10,3,"Irregularity x Symmetry","Most"
5,7,"Irregularity x Symmetry","Most"
7.5,9,"Irregularity x Symmetry","Most"
10,4,"Irregularity x Symmetry","Most"
2.5,7,"Irregularity x Symmetry","Most"
10,5,"Irregularity x Symmetry","Most"
0,5,"Irregularity x Symmetry","Most"
10,3,"Irregularity x Symmetry","Most"
1.25,5,"Irregularity x Symmetry","Most"
10,7,"Irregularity x Symmetry","Most"
10,3,"Irregularity x Symmetry","Most"
8.75,4,"Irregularity x Symmetry","Most"
0,5,"Irregularity x Symmetry","Most"
8.75,4,"Irregularity x Symmetry","Most"
8.75,6,"Irregularity x Symmetry","Most"
10,4,"Irregularity x Symmetry","Most"
0,5,"Irregularity x Symmetry","Most"
8.75,7,"Irregularity x Symmetry","Most"
8.75,6,"Irregularity x Symmetry","Most"
1.25,1,"Irregularity x Symmetry","Most"
7.5,8,"Irregularity x Symmetry","Most"
5,6,"Irregularity x Symmetry","Most"
8.75,4,"Irregularity x Symmetry","Most"
0,4,"Irregularity x Symmetry","Most"
0,2,"Irregularity x Symmetry","Most"
8.75,4,"Irregularity x Symmetry","Most"
7.5,7,"Irregularity x Symmetry","Most"
0,6,"Irregularity x Symmetry","Most"
0,7,"Irregularity x Symmetry","Most"
0,6,"Irregularity x Symmetry","Most"
8.75,7,"Irregularity x Symmetry","Most"
10,10,"Irregularity x Symmetry","Most"
0,8,"Irregularity x Symmetry","Most"
2.5,10,"Irregularity x Symmetry","Most"
8.75,4,"Irregularity x Symmetry","Most"
3.75,1,"Irregularity x Symmetry","Most"
5,7,"Irregularity x Thickness","Most"
1.25,1,"Irregularity x Thickness","Most"
1.25,9,"Irregularity x Thickness","Most"
2.5,8,"Irregularity x Thickness","Most"
3.75,7,"Irregularity x Thickness","Most"
8.75,2,"Irregularity x Thickness","Most"
1.25,3,"Irregularity x Thickness","Most"
10,6,"Irregularity x Thickness","Most"
1.25,4,"Irregularity x Thickness","Most"
5,2,"Irregularity x Thickness","Most"
8.75,6,"Irregularity x Thickness","Most"
10,4,"Irregularity x Thickness","Most"
10,7,"Irregularity x Thickness","Most"
8.75,8,"Irregularity x Thickness","Most"
0,3,"Irregularity x Thickness","Most"
10,2,"Irregularity x Thickness","Most"
8.75,3,"Irregularity x Thickness","Most"
2.5,5,"Irregularity x Thickness","Most"
10,3,"Irregularity x Thickness","Most"
0,7,"Irregularity x Thickness","Most"
0,9,"Irregularity x Thickness","Most"
10,6,"Irregularity x Thickness","Most"
10,7,"Irregularity x Thickness","Most"
8.75,8,"Irregularity x Thickness","Most"
7.5,2,"Irregularity x Thickness","Most"
3.75,1,"Irregularity x Thickness","Most"
8.75,8,"Irregularity x Thickness","Most"
5,5,"Irregularity x Thickness","Most"
1.25,6,"Irregularity x Thickness","Most"
8.75,3,"Irregularity x Thickness","Most"
0,7,"Irregularity x Thickness","Most"
5,5,"Irregularity x Thickness","Most"
1.25,9,"Irregularity x Thickness","Most"
8.75,4,"Irregularity x Thickness","Most"
10,2,"Irregularity x Thickness","Most"
10,5,"Irregularity x Thickness","Most"
1.25,8,"Irregularity x Thickness","Most"
10,7,"Irregularity x Thickness","Most"
5,6,"Irregularity x Thickness","Most"
8.75,3,"Irregularity x Thickness","Most"
10,5,"Irregularity x Thickness","Most"
1.25,7,"Irregularity x Thickness","Most"
8.75,5,"Irregularity x Thickness","Most"
