"WAVEFORM","tensionLevel","Test_Group"
1.3,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.1,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.3,"Most","Attack"
1.3,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Attack"
1.3,"Most","Attack"
1.4,"Most","Attack"
1.4,"Most","Attack"
1.3,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.3,"Most","Release"
1.3,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.3,"Most","Release"
1.3,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.3,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.2,"Most","Release"
1.3,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.3,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.2,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.3,"Most","Release"
1.3,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
1.4,"Most","Release"
