"Carimbo de data/hora","Age:","Gender:","Define your affinity to the musical and visual arts: [I dedicate my personal time to the visual arts.]","Define your affinity to the musical and visual arts: [I dedicate my  personal time to the sonic arts.]","Define your affinity to the musical and visual arts: [I have been trained as a visual artist.]","Define your affinity to the musical and visual arts: [I have been trained as a musician.]","Define your affinity to the musical and visual arts: [Visual art is an important part of my professional practice.]","Define your affinity to the musical and visual arts: [Sound is an important part of my professional practice.]","What size is your screen?","I confirm that I am using a computer (not a tablet/phone). I am also using headphones. My browser is either Google Chrome or Opera. My computer is on top of a flat surface (desk/table) and I am sitting in front of it at a distance of about 70cm.","I will submit this form by clicking ""Submit"" and then continue the test by clicking the ""Start"" button underneath."
"2022/07/05 2:55:46 da tarde CET","49","Male","Very Little","Somewhat","Very Little","To a Great Extent","Somewhat","Very Little","14'' - 16 ''","Yes",""
"2022/07/17 1:49:42 da tarde CET","14","Female","Very Little","To a Great Extent","Not at All","Very Little","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/07/17 7:40:37 da tarde CET","23","Female","Somewhat","Somewhat","Very Little","Very Little","Very Little","Very Little","17'' - 20''","Yes","Yes"
"2022/07/21 2:13:44 da manhã CET","23","Female","To a Great Extent","To a Great Extent","Not at All","Not at All","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/07/21 10:29:16 da tarde CET","24","Male","Somewhat","Somewhat","Not at All","Not at All","Very Little","To a Great Extent","14'' - 16 ''","Yes","Yes"
"2022/07/22 11:36:17 da manhã CET","23","Male","Very Little","Somewhat","Not at All","Not at All","Very Little","Very Little","14'' - 16 ''","Yes","Yes"
"2022/07/22 5:48:53 da tarde CET","23","Male","Somewhat","Somewhat","Somewhat","To a Great Extent","Very Little","Very Little","10'' - 13''","Yes","Yes"
"2022/07/22 5:51:27 da tarde CET","23","Male","Somewhat","Somewhat","Somewhat","To a Great Extent","Very Little","Very Little","27"" external monitor","Yes","Yes"
"2022/07/22 5:54:18 da tarde CET","27","Female","Somewhat","Somewhat","Not at All","Not at All","Not at All","Not at All","10'' - 13''","Yes","Yes"
"2022/07/22 9:08:34 da tarde CET","19","Female","Somewhat","To a Great Extent","Not at All","Not at All","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/07/23 12:19:43 da tarde CET","25","Female","Very Little","Not at All","Not at All","Not at All","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/07/24 10:27:59 da tarde CET","26","Female","Somewhat","Somewhat","Not at All","Not at All","Not at All","Very Little","14'' - 16 ''","Yes","Yes"
"2022/07/25 2:14:43 da tarde CET","22","Male","To a Great Extent","Not at All","Very Little","Very Little","To a Great Extent","Not at All","21'' - 24''","Yes","Yes"
"2022/07/25 4:26:18 da tarde CET","23","Female","Very Little","Somewhat","Not at All","Very Little","Not at All","Somewhat","14'' - 16 ''","Yes","Yes"
"2022/07/26 1:09:35 da tarde CET","29","Male","Somewhat","Not at All","Not at All","Very Little","Somewhat","Not at All","17'' - 20''","Yes","Yes"
"2022/07/26 1:54:30 da tarde CET","24","Male","Not at All","Very Little","Not at All","Not at All","Not at All","Very Little","21'' - 24''","Yes","Yes"
"2022/07/26 2:45:27 da tarde CET","21","Female","To a Great Extent","Somewhat","Very Little","Not at All","Somewhat","Very Little","14'' - 16 ''","Yes","Yes"
"2022/07/26 3:45:15 da tarde CET","25","Female","Not at All","Somewhat","Not at All","To a Great Extent","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/07/26 4:12:43 da tarde CET","27","Male","Not at All","Very Little","Very Little","Very Little","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/07/27 10:13:49 da tarde CET","23","Female","Somewhat","Very Little","Not at All","Very Little","Very Little","Somewhat","10'' - 13''","Yes","Yes"
"2022/07/27 10:33:06 da tarde CET","23","Male","Somewhat","Somewhat","Very Little","Very Little","Somewhat","Very Little","17'' - 20''","Yes","Yes"
"2022/07/28 1:25:13 da tarde CET","18","Male","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","21'' - 24''","Yes","Yes"
"2022/07/28 3:13:25 da tarde CET","23","Female","Somewhat","Not at All","Somewhat","Not at All","To a Great Extent","Very Little","10'' - 13''","Yes","Yes"
"2022/07/28 4:03:34 da tarde CET","22","Female","To a Great Extent","Somewhat","To a Great Extent","Somewhat","To a Great Extent","To a Great Extent","21'' - 24''","Yes","Yes"
"2022/07/28 10:39:59 da tarde CET","23","Male","Somewhat","To a Great Extent","Not at All","Somewhat","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/07/28 10:51:14 da tarde CET","22","Female","Very Little","Not at All","Not at All","Somewhat","Not at All","Not at All","10'' - 13''","Yes","Yes"
"2022/07/29 11:18:46 da manhã CET","28","Female","Somewhat","Very Little","Somewhat","Somewhat","Very Little","Very Little","17'' - 20''","Yes","Yes"
"2022/08/01 10:04:53 da manhã CET","28","Non-binary","To a Great Extent","Somewhat","To a Great Extent","Very Little","To a Great Extent","Very Little","17'' - 20''","Yes","Yes"
"2022/08/01 7:50:21 da tarde CET","21","Female","To a Great Extent","Somewhat","Somewhat","Not at All","Somewhat","Somewhat","10'' - 13''","Yes","Yes"
"2022/08/01 7:55:52 da tarde CET","21","Female","To a Great Extent","Somewhat","Somewhat","Not at All","To a Great Extent","Somewhat","10'' - 13''","Yes","Yes"
"2022/08/02 9:07:12 da tarde CET","23","Female","To a Great Extent","To a Great Extent","To a Great Extent","Not at All","To a Great Extent","Somewhat","10'' - 13''","Yes","Yes"
"2022/08/02 11:34:31 da tarde CET","18","Female","Somewhat","Very Little","Not at All","Very Little","Somewhat","To a Great Extent","21'' - 24''","Yes","Yes"
"2022/08/02 11:47:48 da tarde CET","22","Female","To a Great Extent","Somewhat","Very Little","Not at All","To a Great Extent","To a Great Extent","10'' - 13''","Yes","Yes"
"2022/08/03 10:53:39 da manhã CET","24","Male","Somewhat","To a Great Extent","Somewhat","To a Great Extent","Somewhat","To a Great Extent","32''","Yes","Yes"
"2022/08/05 11:30:05 da tarde CET","21","Female","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","21'' - 24''","Yes","Yes"
"2022/08/06 11:14:38 da manhã CET","24","Male","To a Great Extent","To a Great Extent","Somewhat","To a Great Extent","Very Little","Very Little","14'' - 16 ''","Yes","Yes"
"2022/08/06 1:54:19 da tarde CET","22","Female","Somewhat","Somewhat","Very Little","Somewhat","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/08/06 4:16:58 da tarde CET","23","Female","Very Little","Very Little","Not at All","Very Little","Very Little","Very Little","17'' - 20''","Yes","Yes"
"2022/08/06 4:33:52 da tarde CET","22","Female","Somewhat","To a Great Extent","Very Little","Somewhat","Not at All","Very Little","14'' - 16 ''","Yes","Yes"
"2022/08/07 10:41:40 da manhã CET","22","Female","Somewhat","Very Little","Very Little","Not at All","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/08/07 4:47:32 da tarde CET","20","Female","Very Little","Somewhat","Not at All","To a Great Extent","Not at All","Not at All","10'' - 13''","Yes","Yes"
"2022/08/07 9:54:37 da tarde CET","20","Female","Very Little","Somewhat","Not at All","To a Great Extent","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/08/08 3:40:36 da tarde CET","23","Female","Somewhat","Not at All","Very Little","Not at All","Very Little","Not at All","21'' - 24''","Yes","Yes"
"2022/08/08 8:15:11 da tarde CET","21","Female","Very Little","Not at All","Very Little","Very Little","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/08/08 9:54:20 da tarde CET","23","Male","Somewhat","Somewhat","Not at All","Not at All","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/08/08 9:55:19 da tarde CET","23","Male","Somewhat","To a Great Extent","Not at All","Not at All","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/08/08 10:49:45 da tarde CET","23","Non-binary","Very Little","Not at All","Not at All","Not at All","Not at All","Not at All","14'' - 16 ''","Yes","Yes"
"2022/08/09 9:57:10 da tarde CET","23","Male","Very Little","Very Little","Not at All","Somewhat","Very Little","Very Little","14'' - 16 ''","Yes","Yes"
"2022/08/10 10:06:37 da manhã CET","43","Female","Not at All","Not at All","Not at All","Somewhat","Very Little","Very Little","10'' - 13''","Yes","Yes"
"2022/08/10 11:57:21 da manhã CET","21","Male","Somewhat","Somewhat","Not at All","Not at All","Not at All","Very Little","17'' - 20''","Yes","Yes"
"2022/08/10 1:46:11 da tarde CET","22","Male","Very Little","Very Little","Not at All","Very Little","Very Little","Very Little","21'' - 24''","Yes","Yes"
"2022/08/10 5:26:03 da tarde CET","46","Female","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","21'' - 24''","Yes","Yes"
"2022/08/10 8:43:26 da tarde CET","22","Female","Very Little","Very Little","Not at All","Not at All","Very Little","Very Little","10'' - 13''","Yes","Yes"
"2022/08/10 9:13:03 da tarde CET","24","Male","Somewhat","Somewhat","Not at All","Not at All","Not at All","Not at All","21'' - 24''","Yes","Yes"
"2022/08/11 1:56:51 da tarde CET","22","Female","Not at All","Not at All","Not at All","Somewhat","Not at All","Not at All","10'' - 13''","Yes","Yes"
"2022/08/11 6:39:36 da tarde CET","20","Female","To a Great Extent","Somewhat","To a Great Extent","Very Little","To a Great Extent","Somewhat","17'' - 20''","Yes","Yes"
"2022/08/17 3:43:26 da tarde CET","22","Male","Not at All","Not at All","Not at All","Somewhat","Not at All","Not at All","21'' - 24''","Yes","Yes"
"2022/08/19 11:55:05 da manhã CET","25","Male","To a Great Extent","Somewhat","Somewhat","Somewhat","To a Great Extent","To a Great Extent","14'' - 16 ''","Yes","Yes"
"2022/08/30 11:18:06 da tarde CET","23","Male","Somewhat","Somewhat","Not at All","Not at All","Not at All","Very Little","14'' - 16 ''","Yes","Yes"
"2022/08/31 8:57:51 da manhã CET","22","Female","To a Great Extent","To a Great Extent","To a Great Extent","Very Little","Somewhat","Somewhat","17'' - 20''","Yes","Yes"
