"","THICKNESS","TENSION","group","TensionLevel"
"1",1.25,8,"Thickness x Angularity","Most"
"2",8.75,8,"Thickness x Angularity","Most"
"3",7.5,7,"Thickness x Angularity","Most"
"4",10,1,"Thickness x Angularity","Most"
"5",10,9,"Thickness x Angularity","Most"
"6",6.25,8,"Thickness x Angularity","Most"
"7",5,1,"Thickness x Angularity","Most"
"8",10,4,"Thickness x Angularity","Most"
"9",8.75,2,"Thickness x Angularity","Most"
"10",0,2,"Thickness x Angularity","Most"
"11",8.75,5,"Thickness x Angularity","Most"
"12",0,5,"Thickness x Angularity","Most"
"13",10,9,"Thickness x Angularity","Most"
"14",0,7,"Thickness x Angularity","Most"
"15",8.75,4,"Thickness x Angularity","Most"
"16",8.75,5,"Thickness x Angularity","Most"
"17",0,9,"Thickness x Angularity","Most"
"18",1.25,3,"Thickness x Angularity","Most"
"19",10,3,"Thickness x Angularity","Most"
"20",10,3,"Thickness x Angularity","Most"
"21",8.75,8,"Thickness x Angularity","Most"
"22",1.25,6,"Thickness x Angularity","Most"
"23",10,8,"Thickness x Angularity","Most"
"24",10,8,"Thickness x Angularity","Most"
"25",10,4,"Thickness x Angularity","Most"
"26",8.75,3,"Thickness x Angularity","Most"
"27",10,8,"Thickness x Angularity","Most"
"28",10,6,"Thickness x Angularity","Most"
"29",0,7,"Thickness x Angularity","Most"
"30",3.75,6,"Thickness x Angularity","Most"
"31",10,8,"Thickness x Angularity","Most"
"32",10,7,"Thickness x Angularity","Most"
"33",8.75,8,"Thickness x Angularity","Most"
"34",0,8,"Thickness x Angularity","Most"
"35",10,3,"Thickness x Angularity","Most"
"36",7.5,7,"Thickness x Angularity","Most"
"37",0,5,"Thickness x Angularity","Most"
"38",0,5,"Thickness x Angularity","Most"
"39",10,8,"Thickness x Angularity","Most"
"40",8.75,8,"Thickness x Angularity","Most"
"41",8.75,3,"Thickness x Angularity","Most"
"42",10,8,"Thickness x Angularity","Most"
"43",10,4,"Thickness x Angularity","Most"
"44",10,6,"Thickness x Angularity","Most"
"45",3.75,7,"Thickness x Angularity","Most"
"46",8.75,7,"Thickness x Angularity","Most"
"47",10,4,"Thickness x Angularity","Most"
"48",10,5,"Thickness x Angularity","Most"
"49",1.25,3,"Thickness x Angularity","Most"
"50",10,4,"Thickness x Angularity","Most"
"51",7.5,7,"Thickness x Angularity","Most"
"52",1.25,7,"Thickness x Angularity","Most"
"53",0,7,"Thickness x Angularity","Most"
"54",1.25,7,"Thickness x Angularity","Most"
"55",8.75,6,"Thickness x Angularity","Most"
"56",10,7,"Thickness x Angularity","Most"
"57",10,9,"Thickness x Angularity","Most"
"58",8.75,8,"Thickness x Angularity","Most"
"59",0,5,"Thickness x Angularity","Most"
"60",8.75,3,"Thickness x Angularity","Most"
"61",5,7,"Thickness x Irregularity","Most"
"62",8.75,1,"Thickness x Irregularity","Most"
"63",10,9,"Thickness x Irregularity","Most"
"64",8.75,8,"Thickness x Irregularity","Most"
"65",10,7,"Thickness x Irregularity","Most"
"66",7.5,2,"Thickness x Irregularity","Most"
"67",8.75,3,"Thickness x Irregularity","Most"
"68",8.75,6,"Thickness x Irregularity","Most"
"69",10,4,"Thickness x Irregularity","Most"
"70",10,2,"Thickness x Irregularity","Most"
"71",6.25,6,"Thickness x Irregularity","Most"
